Employee_ID,Gender,Age,Job_Title,Years_At_Company,Education_Level,Performance_Score,Monthly_Salary,Work_Hours_Per_Week,Sick_Days,Employee_Satisfaction_Score,Supporter 4 days a week
1,Male,29,Developer,0,Bachelor,5,7500,34,14,1.72,TRUE
2,Male,55,Specialist,8,Master,3,5850,37,3,3.17,TRUE
3,Male,46,Analyst,1,Master,1,4400,33,1,2.22,TRUE
4,Male,23,Technician,9,High School,2,4200,52,1,3.91,TRUE
5,Male,26,Specialist,8,Bachelor,4,6300,48,13,3.68,TRUE
6,Male,52,Analyst,1,Master,3,5200,45,9,4.95,TRUE
7,Male,23,Developer,5,High School,4,7000,32,12,3.97,TRUE
8,Female,58,Manager,6,Bachelor,4,8400,50,9,1.68,FALSE
9,Male,50,Manager,0,Bachelor,4,8400,54,7,3.66,TRUE
10,Female,38,Manager,8,Bachelor,3,7800,41,10,4.2,TRUE
11,Male,39,Analyst,5,High School,1,4400,31,12,3.51,TRUE
12,Male,29,Specialist,3,Bachelor,3,5850,47,1,4.37,TRUE
13,Male,46,Consultant,9,Bachelor,4,7700,35,7,1.14,TRUE
14,Male,38,Technician,5,Bachelor,2,4200,34,0,1.12,TRUE
15,Female,55,Analyst,3,Bachelor,1,4400,57,12,3,TRUE
16,Male,44,Technician,1,Bachelor,5,5250,32,14,1.78,TRUE
17,Male,22,Developer,9,Master,2,6000,52,3,3.63,TRUE
18,Female,33,Technician,9,Bachelor,3,4550,38,11,2.69,TRUE
19,Male,54,Specialist,4,Bachelor,1,4950,59,3,3.94,TRUE
20,Male,45,Analyst,9,Master,5,6000,30,9,2.41,TRUE
21,Female,26,Specialist,3,High School,4,6300,41,2,2.86,FALSE
22,Female,57,Analyst,2,Bachelor,4,5600,58,6,4.13,TRUE
23,Female,27,Manager,1,Bachelor,4,8400,56,4,1.53,TRUE
24,Male,33,Developer,6,Bachelor,2,6000,39,9,3.42,TRUE
25,Male,31,Developer,8,High School,1,5500,38,10,3.39,TRUE
26,Male,34,Analyst,9,Bachelor,5,6000,50,6,4.91,TRUE
27,Female,53,Technician,1,High School,2,4200,45,12,2.5,TRUE
28,Female,46,Developer,1,Bachelor,3,6500,49,9,3.45,TRUE
29,Female,36,Specialist,3,Bachelor,1,4950,34,2,3.53,TRUE
30,Male,24,Analyst,6,High School,4,5600,39,10,2.74,TRUE
31,Female,46,Consultant,8,Master,4,7700,57,8,3.89,TRUE
32,Female,22,Developer,4,Bachelor,5,7500,52,2,4.75,TRUE
33,Female,33,Consultant,1,Bachelor,5,8250,51,1,2.71,TRUE
34,Male,60,Specialist,0,Bachelor,3,5850,38,14,1.85,FALSE
