Employee_ID,Gender,Age,Job_Title,Years_At_Company,Education_Level,Performance_Score,Monthly_Salary,Work_Hours_Per_Week,Sick_Days,Employee_Satisfaction_Score,Supporter 4 days a week
1,Male,29,Developer,0,Bachelor,5,7500,34,14,4.6,True
2,Male,55,Specialist,8,Master,3,5850,37,3,4.5,True
3,Male,46,Analyst,1,Master,1,4400,33,1,4.7,True
4,Male,23,Technician,9,High School,2,4200,52,1,5.0,True
5,Male,26,Specialist,8,Bachelor,4,6300,48,13,4.4,True
6,Male,52,Analyst,1,Master,3,5200,45,9,4.4,True
7,Male,23,Developer,5,High School,4,7000,32,12,5.0,True
8,Female,58,Manager,6,Bachelor,4,8400,50,9,3.3,False
9,Male,50,Manager,0,Bachelor,4,8400,54,7,4.4,True
10,Female,38,Manager,8,Bachelor,3,7800,41,10,4.7,True
11,Male,39,Analyst,5,High School,1,4400,31,12,4.4,True
12,Male,29,Specialist,3,Bachelor,3,5850,47,1,4.4,True
13,Male,46,Consultant,9,Bachelor,4,7700,35,7,4.6,True
14,Male,38,Technician,5,Bachelor,2,4200,34,0,3.9,True
15,Female,55,Analyst,3,Bachelor,1,4400,57,12,4.0,True
16,Male,44,Technician,1,Bachelor,5,5250,32,14,4.3,True
17,Male,22,Developer,9,Master,2,6000,52,3,4.2,True
18,Female,33,Technician,9,Bachelor,3,4550,38,11,4.6,True
19,Male,54,Specialist,4,Bachelor,1,4950,59,3,4.2,True
20,Male,45,Analyst,9,Master,5,6000,30,9,4.1,True
21,Female,26,Specialist,3,High School,4,6300,41,2,3.6,False
22,Female,57,Analyst,2,Bachelor,4,5600,58,6,4.4,True
23,Female,27,Manager,1,Bachelor,4,8400,56,4,4.5,True
24,Male,33,Developer,6,Bachelor,2,6000,39,9,4.1,True
25,Male,31,Developer,8,High School,1,5500,38,10,4.3,True
26,Male,34,Analyst,9,Bachelor,5,6000,50,6,4.5,True
27,Female,53,Technician,1,High School,2,4200,45,12,4.2,True
28,Female,46,Developer,1,Bachelor,3,6500,49,9,4.6,True
29,Female,36,Specialist,3,Bachelor,1,4950,34,2,4.3,True
30,Male,24,Analyst,6,High School,4,5600,39,10,4.4,True
31,Female,46,Consultant,8,Master,4,7700,57,8,4.3,True
32,Female,22,Developer,4,Bachelor,5,7500,52,2,5.0,True
33,Female,33,Consultant,1,Bachelor,5,8250,51,1,4.5,True
34,Male,60,Specialist,0,Bachelor,3,5850,38,14,2.6,False
35,Male,31,Manager,0,High School,2,7200,55,7,4.7,True
36,Female,29,Manager,3,Bachelor,5,9000,50,1,4.1,True
37,Male,52,Consultant,1,Master,2,6600,38,13,4.6,True
38,Male,28,Manager,2,Bachelor,2,7200,35,14,3.9,True
39,Female,60,Technician,4,Master,4,4900,50,7,2.5,False
40,Male,25,Manager,3,Bachelor,3,7800,43,3,4.6,True
41,Male,35,Technician,7,Bachelor,3,4550,58,3,4.7,True
42,Male,35,Developer,3,Bachelor,4,7000,40,12,4.6,True
43,Male,25,Technician,7,High School,1,3850,52,2,4.5,True
44,Female,31,Manager,7,Master,4,8400,37,14,4.4,True
45,Female,22,Developer,2,Bachelor,5,7500,49,4,4.1,True
46,Male,39,Consultant,6,Master,2,6600,42,6,4.3,True
47,Female,42,Analyst,5,Bachelor,4,5600,37,0,4.4,True
48,Female,50,Developer,0,Bachelor,4,7000,31,10,4.8,True
49,Male,40,Consultant,2,High School,2,6600,47,10,4.6,True
50,Female,58,Analyst,9,High School,1,4400,52,3,4.0,True
51,Male,36,Consultant,6,Bachelor,2,6600,46,13,4.6,True
52,Male,39,Developer,1,Bachelor,5,7500,34,10,4.4,True
53,Female,43,Developer,4,Bachelor,1,5500,53,4,4.3,True
54,Female,45,Specialist,2,Bachelor,1,4950,52,12,3.2,False
55,Female,48,Specialist,4,Bachelor,1,4950,59,12,4.8,True
56,Male,60,Analyst,6,Bachelor,5,6000,42,12,4.8,True
57,Female,29,Developer,4,High School,1,5500,31,14,4.2,True
58,Female,35,Analyst,2,High School,4,5600,40,5,4.4,True
59,Male,54,Specialist,7,Master,2,5400,32,14,4.6,True
60,Male,54,Consultant,0,Bachelor,5,8250,34,8,4.8,True
61,Female,43,Manager,7,Bachelor,4,8400,47,13,4.4,True
62,Female,35,Manager,2,Bachelor,5,9000,43,10,2.9,False
63,Female,35,Manager,5,Bachelor,2,7200,60,1,4.2,True
64,Other,47,Analyst,8,Bachelor,4,5600,47,0,4.1,True
65,Female,39,Technician,8,Bachelor,4,4900,60,10,4.7,True
66,Male,35,Analyst,3,Bachelor,1,4400,41,3,4.9,True
67,Male,45,Technician,1,Bachelor,1,3850,31,4,4.5,True
68,Female,53,Analyst,0,Bachelor,5,6000,42,3,4.8,True
69,Male,52,Manager,8,High School,3,7800,35,6,4.6,True
70,Male,41,Manager,3,Bachelor,3,7800,47,9,4.3,True
71,Female,40,Specialist,1,Bachelor,4,6300,40,10,4.6,True
72,Female,46,Manager,3,Master,4,8400,56,10,5.0,True
73,Female,57,Manager,5,Bachelor,3,7800,34,1,4.5,True
74,Female,60,Consultant,4,Bachelor,3,7150,33,9,5.0,True
75,Male,53,Manager,5,Bachelor,2,7200,38,2,3.7,True
76,Female,23,Consultant,5,Bachelor,2,6600,53,9,4.7,True
77,Female,43,Consultant,2,High School,4,7700,54,6,4.5,True
78,Male,49,Technician,8,Bachelor,2,4200,36,0,4.4,True
79,Female,22,Specialist,2,Bachelor,1,4950,46,4,4.5,True
80,Male,38,Technician,5,Bachelor,3,4550,56,14,3.9,True
81,Male,30,Specialist,6,Master,4,6300,45,2,4.4,True
82,Female,47,Analyst,8,High School,5,6000,30,12,4.6,True
83,Male,30,Developer,0,Bachelor,3,6500,48,3,3.6,False
84,Female,59,Analyst,8,Bachelor,1,4400,47,5,4.3,True
85,Male,26,Specialist,1,High School,3,5850,33,1,4.3,True
86,Female,22,Specialist,1,Bachelor,1,4950,60,6,4.3,True
87,Female,52,Specialist,7,Master,1,4950,59,4,4.8,True
88,Female,23,Manager,2,Bachelor,4,8400,39,5,4.6,True
89,Female,36,Analyst,1,High School,4,5600,32,0,4.3,True
90,Male,53,Developer,9,Bachelor,4,7000,46,3,3.2,False
91,Female,43,Manager,9,High School,3,7800,31,14,4.5,True
92,Male,34,Technician,9,Bachelor,4,4900,43,11,4.8,True
93,Male,37,Developer,8,High School,1,5500,35,3,2.7,False
94,Female,24,Manager,6,Bachelor,3,7800,43,4,4.4,True
95,Female,57,Developer,9,High School,3,6500,60,2,4.4,True
96,Male,38,Specialist,9,Master,2,5400,44,3,4.1,True
97,Female,57,Technician,4,Bachelor,5,5250,37,8,4.6,True
98,Male,39,Manager,0,Bachelor,4,8400,32,1,4.6,True
99,Male,26,Manager,0,High School,2,7200,52,11,4.5,True
100,Female,54,Analyst,2,Bachelor,2,4800,57,4,4.4,True
101,Male,37,Analyst,3,Bachelor,2,4800,43,13,4.1,True
102,Female,31,Specialist,2,Master,3,5850,45,3,4.4,True
103,Female,52,Consultant,4,Bachelor,4,7700,47,5,4.4,True
104,Male,59,Technician,0,Bachelor,5,5250,60,4,4.3,True
105,Male,56,Manager,2,Bachelor,2,7200,38,1,4.5,True
106,Female,49,Developer,6,Bachelor,4,7000,48,9,4.6,True
107,Female,39,Consultant,9,Bachelor,2,6600,38,4,5.0,True
108,Female,55,Developer,4,Bachelor,5,7500,53,14,4.6,True
109,Female,35,Technician,8,Bachelor,2,4200,43,6,4.6,True
110,Male,25,Developer,5,Master,1,5500,33,0,4.5,True
111,Female,58,Manager,8,Bachelor,5,9000,42,10,3.9,True
