Employee_ID,Gender,Age,Job_Title,Years_At_Company,Education_Level,Performance_Score,Monthly_Salary,Work_Hours_Per_Week,Sick_Days,Employee_Satisfaction_Score,Supporter 4 days a week
1,Male ,29,Developer,0,Bachelor,5,7500,34,14,4.8,TRUE
2,Male ,55,Specialist,8,Master,3,5850,37,3,4.7,TRUE
3,Male ,46,Analyst,1,Master,2,4400,33,1,4.9,TRUE
4,Male ,23,Technician,9,High School,2,4200,52,1,5,TRUE
5,Male ,26,Specialist,8,Bachelor,4,6300,48,13,4.6,TRUE
6,Male ,52,Analyst,1,Master,4,5200,45,9,4.6,TRUE
7,Male ,23,Developer,5,High School,5,7000,32,12,5,TRUE
8,Female,58,Manager,6,Bachelor,4,8400,50,9,3.1,FALSE
9,Male ,50,Manager,0,Bachelor,4,8400,54,7,4.6,TRUE
10,Male ,38,Manager,8,Bachelor,3,7800,41,10,4.8,TRUE
11,Female,39,Analyst,5,High School,1,4400,31,12,4.6,TRUE
12,Male ,29,Specialist,3,Bachelor,4,5850,47,1,4.6,TRUE
13,Male ,46,Consultant,9,Bachelor,4,7700,35,7,4.8,TRUE
14,Male ,38,Technician,5,Bachelor,3,4200,34,0,4.2,TRUE
15,Female,55,Analyst,3,Bachelor,2,4400,57,12,4.3,TRUE
16,Male ,44,Technician,1,Bachelor,5,5250,32,14,4.6,TRUE
17,Male ,22,Developer,9,Master,2,6000,52,3,4.4,TRUE
18,Male ,33,Technician,9,Bachelor,3,4550,38,11,4.8,TRUE
19,Male ,54,Specialist,4,Bachelor,2,4950,59,3,4.5,TRUE
20,Male ,45,Analyst,9,Master,5,6000,30,9,4.3,TRUE
21,Female,26,Specialist,3,High School,3,6300,41,2,3.3,FALSE
22,Male ,57,Analyst,2,Bachelor,5,5600,58,6,4.6,TRUE
23,Male ,27,Manager,1,Bachelor,5,8400,56,4,4.7,TRUE
24,Male ,33,Developer,6,Bachelor,3,6000,39,9,4.3,TRUE
25,Male ,31,Developer,8,High School,1,5500,38,10,4.6,TRUE
26,Male ,34,Analyst,9,Bachelor,5,6000,50,6,4.7,TRUE
27,Male ,53,Technician,1,High School,2,4200,45,12,4.4,TRUE
28,Male ,46,Developer,1,Bachelor,3,6500,49,9,4.8,TRUE
29,Male ,36,Specialist,3,Bachelor,1,4950,34,2,4.5,TRUE
30,Female,24,Analyst,6,High School,4,5600,39,10,4.6,TRUE
31,Male ,46,Consultant,8,Master,4,7700,57,8,4.5,TRUE
32,Male ,22,Developer,4,Bachelor,5,7500,52,2,5,TRUE
33,Male ,33,Consultant,1,Bachelor,5,8250,51,1,4.7,TRUE
34,Male ,60,Specialist,0,Bachelor,3,5850,38,14,2.5,FALSE
35,Female,31,Manager,0,High School,3,7200,55,7,4.9,TRUE
36,Male ,29,Manager,3,Bachelor,5,9000,50,1,4.4,TRUE
37,Male ,52,Consultant,1,Master,2,6600,38,13,4.8,TRUE
38,Male ,28,Manager,2,Bachelor,2,7200,35,14,4.2,TRUE
39,Male ,60,Technician,4,Master,4,4900,50,7,2.5,FALSE
40,Male ,25,Manager,3,Bachelor,3,7800,43,3,4.7,TRUE
41,Male ,35,Technician,7,Bachelor,4,4550,58,3,4.9,TRUE
42,Male ,35,Developer,3,Bachelor,4,7000,40,12,4.7,TRUE
43,Female,25,Technician,7,High School,2,3850,52,2,4.7,TRUE
44,Male ,31,Manager,7,Master,4,8400,37,14,4.6,TRUE
45,Male ,22,Developer,2,Bachelor,5,7500,49,4,4.3,TRUE
46,Female,39,Consultant,6,Master,3,6600,42,6,4.5,TRUE
47,Female,42,Analyst,5,Bachelor,5,5600,37,0,4.6,TRUE
48,Male ,50,Developer,0,Bachelor,5,7000,31,10,5,TRUE
49,Male ,40,Consultant,2,High School,2,6600,47,10,4.8,TRUE
50,Male ,58,Analyst,9,High School,2,4400,52,3,4.3,TRUE
51,Female,36,Consultant,6,Bachelor,2,6600,46,13,4.8,TRUE
52,Female,39,Developer,1,Bachelor,5,7500,34,10,4.6,TRUE
53,Male ,43,Developer,4,Bachelor,2,5500,53,4,4.5,TRUE
54,Male ,45,Specialist,2,Bachelor,1,4950,52,12,3,FALSE
55,Female,48,Specialist,4,Bachelor,1,4950,59,12,5,TRUE
56,Female,60,Analyst,6,Bachelor,5,6000,42,12,4.9,TRUE
57,Male ,29,Developer,4,High School,1,5500,31,14,4.5,TRUE
58,Male ,35,Analyst,2,High School,5,5600,40,5,4.6,TRUE
59,Male ,54,Specialist,7,Master,3,5400,32,14,4.8,TRUE
60,Male ,54,Consultant,0,Bachelor,5,8250,34,8,4.9,TRUE
61,Female,43,Manager,7,Bachelor,4,8400,47,13,4.6,TRUE
62,Female,35,Manager,2,Bachelor,5,9000,43,10,2.7,FALSE
63,Male ,35,Manager,5,Bachelor,2,7200,60,1,4.4,TRUE
64,Male ,47,Analyst,8,Bachelor,5,5600,47,0,4.4,TRUE
65,Male ,39,Technician,8,Bachelor,5,4900,60,10,4.9,TRUE
66,Female,35,Analyst,3,Bachelor,1,4400,41,3,5,TRUE
67,Male ,45,Technician,1,Bachelor,2,3850,31,4,4.7,TRUE
68,Male ,53,Analyst,0,Bachelor,5,6000,42,3,5,TRUE
69,Female,52,Manager,8,High School,4,7800,35,6,4.8,TRUE
70,Female,41,Manager,3,Bachelor,4,7800,47,9,4.5,TRUE
71,Male ,40,Specialist,1,Bachelor,4,6300,40,10,4.8,TRUE
72,Male ,46,Manager,3,Master,4,8400,56,10,5,TRUE
73,Male ,57,Manager,5,Bachelor,4,7800,34,1,4.7,TRUE
74,Female,60,Consultant,4,Bachelor,4,7150,33,9,5,TRUE
75,Male ,53,Manager,5,Bachelor,3,7200,38,2,4,TRUE
76,Male ,23,Consultant,5,Bachelor,3,6600,53,9,4.9,TRUE
77,Male ,43,Consultant,2,High School,5,7700,54,6,4.7,TRUE
78,Male ,49,Technician,8,Bachelor,2,4200,36,0,4.6,TRUE
79,Male ,22,Specialist,2,Bachelor,2,4950,46,4,4.7,TRUE
